24 S 1354	
539706.2249	8568417.864
539700.7742	8568430.552
539696.054	8568443.529
539692.0799	8568456.754
539688.8644	8568470.184
539686.4182	8568483.775
539684.7492	8568497.483
539683.8626	8568511.263
539683.7615	8568525.072
539684.4461	8568538.864
539685.9142	8568552.595
539688.1611	8568566.22
539691.1794	8568579.696
539694.9594	8568592.977
539699.489	8568606.023
539704.7533	8568618.789
539710.7353	8568631.235
539717.4157	8568643.321
539724.7728	8568655.007
539732.7829	8568666.256
539741.4199	8568677.03
539750.6558	8568687.296
539760.4608	8568697.02
539770.8032	8568706.171
539781.6493	8568714.718
539792.9641	8568722.634
539804.7109	8568729.894
539816.8517	8568736.474
539829.3472	8568742.352
539842.1569	8568747.51
539855.2392	8568751.931
539868.5519	8568755.601
539882.0517	8568758.507
539895.6951	8568760.641
539909.4377	8568761.995
539923.2351	8568762.565
539923.7991	8568774.343
539923.8011	8568774.384
539931.5474	8568930.712
539931.5612	8568930.965
539935.0925	8568989.909
539942.219	8569113.139
539942.2305	8569113.327
539942.2876	8569114.039
539946.3571	8569156.928
539948.6676	8569181.279
539948.7677	8569182.162
539949.0288	8569183.744
539949.3929	8569185.306
539949.4883	8569185.651
539965.4822	8569242.025
539965.8522	8569243.213
539966.417	8569244.714
539967.0786	8569246.174
539967.0856	8569246.188
539981.8906	8569276.161
539982.6394	8569277.561
539983.4752	8569278.906
539991.8086	8569291.4
539991.8194	8569291.416
539992.4588	8569292.327
540007.1444	8569312.28
540007.4388	8569312.672
540008.4559	8569313.911
540008.8328	8569314.331
540035.1796	8569343.013
540035.8987	8569343.763
540037.0688	8569344.859
540037.6581	8569345.36
540074.8239	8569375.934
540075.4739	8569376.45
540075.7962	8569376.693
540121.6536	8569410.695
540121.7833	8569410.791
540168.9848	8569445.311
540204.0899	8569471.472
540204.1655	8569471.528
540239.7766	8569497.853
540239.8392	8569497.899
540276.4684	8569524.798
540276.4759	8569524.804
540317.2176	8569554.699
540317.2649	8569554.733
540382.1183	8569602.082
540382.1703	8569602.12
540436.2117	8569641.359
540503.6571	8569691.368
540503.9866	8569691.608
540535.1591	8569713.928
540564.2348	8569737.22
540590.8754	8569760.187
540604.0451	8569773.387
540625.1781	8569798.564
540640.6778	8569818.533
540661.2902	8569853.776
540682.0984	8569893.179
540698.5887	8569925.454
540698.6218	8569925.518
540720.4144	8569967.861
540744.0712	8570014.198
540744.1432	8570014.338
540782.5403	8570088.368
540839.9745	8570200.993
540839.9886	8570201.02
540895.9114	8570310.339
540895.9432	8570310.401
540943.1809	8570402.098
540965.8106	8570446.482
540965.91	8570446.675
541002.0449	8570516.022
541013.1532	8570541.075
541013.5768	8570541.98
541014.3326	8570543.394
541015.1792	8570544.755
541016.113	8570546.058
541017.1301	8570547.298
541018.2261	8570548.468
541019.3962	8570549.564
541020.6355	8570550.581
541021.9387	8570551.515
541023.3002	8570552.361
541024.7141	8570553.117
541026.1745	8570553.779
541027.6749	8570554.343
541029.2091	8570554.809
541030.7705	8570555.173
541032.3523	8570555.434
541033.9478	8570555.591
541035.5502	8570555.644
541037.1526	8570555.591
541038.7481	8570555.434
541040.3299	8570555.173
541041.8913	8570554.809
541043.4255	8570554.343
541044.9259	8570553.779
541046.3863	8570553.117
541047.8002	8570552.361
541049.1617	8570551.515
541050.4649	8570550.581
541051.7042	8570549.564
541052.8743	8570548.468
541053.9703	8570547.298
